fold,n_val,type_acc,macro_f1,year_mae,floors_mae
0,1614.0,0.9070631970260223,0.6386287292864906,9.739045513015993,0.3533441742704408
1,1613.0,0.8946063236205828,0.5754805125443911,10.417759119023172,0.3612336581786523
2,1614.0,0.9107806691449815,0.6448768895122332,9.309341147043448,0.36204708420211057
3,1614.0,0.9213135068153655,0.5521485650178855,9.540279572781134,0.3436491374189526
4,1613.0,0.9163050216986981,0.6667372147438246,9.710894060223573,0.36214157090893606
mean,8068.0,0.91001374366113,0.615574382220965,9.743463882417464,0.35648312499581847
std,,0.01017284767330892,0.04908698390982907,0.41397487679389056,0.008063923773537013
