fold,n_val,type_acc,macro_f1,year_mae,floors_mae
0,1614.0,0.9120198265179678,0.6505764554055969,11.891828685888127,0.421704896763798
1,1613.0,0.8512089274643522,0.5351698404433831,12.609349269121978,0.4985453673053512
2,1614.0,0.9157372986369269,0.5974359444629418,11.477169599379453,0.4022747031522654
3,1614.0,0.9058240396530359,0.5448356594643167,12.551951960264676,0.43890295433436777
4,1613.0,0.9187848729076256,0.5897763569508196,11.652905212894257,0.3989796718306521
mean,8068.0,0.9007149930359816,0.5835588513454116,12.036640945509697,0.4320815186772869
std,,0.028093337154550445,0.046269785791730175,0.518356092861364,0.04048403375904558
